seqnames,description,sample,counts,reads
NG_050278.1,"Providencia stuartii VR-1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-60, complete CDS",01-13-A6D25,1,27588820
NG_050166.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-122, complete CDS",01-13-A6D25,2,27588820
NG_050244.1,"Proteus mirabilis IHMA 845676 blaTEM gene for class A extended-spectrum beta-lactamase TEM-211, complete CDS",01-13-A6D25,1,27588820
NG_050283.1,"Klebsiella pneumoniae 3635 pMG259 blaTEM gene for class A extended-spectrum beta-lactamase TEM-71, complete CDS",01-13-A6D25,1,27588820
NG_047828.1,"Bacteroides thetaiotaomicron 7853 erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",01-13-A6D25,1,27588820
NG_050277.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-6, complete CDS",01-13-A6D25,3,27588820
NG_050252.1,"Klebsiella pneumoniae SLK52 blaTEM gene for class A extended-spectrum beta-lactamase TEM-22, complete CDS",01-13-A6D25,1,27588820
NG_050238.1,"Escherichia coli S2.2-EK pEC-S2.2 blaTEM gene for class A broad-spectrum beta-lactamase TEM-206, complete CDS",01-13-A6D25,2,27588820
NG_048177.1,"Aeromonas salmonicida pRAS3.2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",01-13-A6D25,5,27588820
NG_050308.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-99, complete CDS",01-13-A6D25,1,27588820
NG_050194.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-150, complete CDS",01-13-A6D25,2,27588820
NG_050260.1,"Escherichia coli pINSRA99 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-30, complete CDS",01-13-A6D25,1,27588820
NG_050272.1,"Klebsiella pneumoniae blaTEM gene for class A extended-spectrum beta-lactamase TEM-52, complete CDS",01-13-A6D25,1,27588820
NG_050162.1,"Staphylococcus aureus pJ3356::POX7 blaTEM gene for class A broad-spectrum beta-lactamase TEM-116, complete CDS",01-13-A6D25,6,27588820
NG_048175.1,"Salmonella enterica subsp. enterica serovar Typhimurium R46 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",01-13-A6D25,3,27588820
NG_050182.1,"Salmonella enterica pCN2310 blaTEM gene for class A extended-spectrum beta-lactamase TEM-138, complete CDS",01-13-A6D25,2,27588820
NG_050236.1,"Escherichia coli WDR-13 unnamed blaTEM gene for class A beta-lactamase TEM-201, complete CDS",01-13-A6D25,1,27588820
NG_051939.1,"Klebsiella pneumoniae subsp. pneumoniae ST101:945169659 blaTEM gene for class A beta-lactamase TEM-213, complete CDS",01-13-A6D25,1,27588820
NG_050177.1,"Klebsiella pneumoniae blaTEM gene for class A extended-spectrum beta-lactamase TEM-133, complete CDS",01-13-A6D25,1,27588820
NG_050220.1,"Klebsiella pneumoniae HS-153 blaTEM gene for class A broad-spectrum beta-lactamase TEM-183, complete CDS",01-13-A6D25,4,27588820
NG_050294.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-84, complete CDS",01-13-A6D25,1,27588820
NG_050224.1,"Proteus mirabilis 7001324 unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-187, complete CDS",01-13-A6D25,1,27588820
NG_048179.1,"Escherichia coli invasion plasmid pIS2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",01-13-A6D25,2,27588820
NG_050290.1,"Enterobacter cloacae blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-80, complete CDS",01-13-A6D25,2,27588820
NG_050214.1,"Escherichia coli pAm08CQ6130 blaTEM gene for class A beta-lactamase TEM-171, complete CDS",01-13-A6D25,5,27588820
NG_050253.1,"Neisseria gonorrhoeae IM4519 blaTEM gene for class A beta-lactamase TEM-220, complete CDS",01-13-A6D25,1,27588820
NG_050292.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-82, complete CDS",01-13-A6D25,1,27588820
NG_050200.1,"Proteus mirabilis blaTEM gene for class A beta-lactamase TEM-156, complete CDS",01-13-A6D25,2,27588820
NG_050231.1,"Acinetobacter baumannii 195 blaTEM gene for class A beta-lactamase TEM-195, complete CDS",01-13-A6D25,1,27588820
NG_056418.1,"Escherichia coli ESY001 blaTEM gene for class A beta-lactamase TEM-231, complete CDS",01-13-A6D25,1,27588820
NG_047430.1,"Escherichia coli aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",01-13-A6D25,3,27588820
NG_050264.1,"Escherichia coli 13S00929-3 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-35, complete CDS",01-13-A6D25,1,27588820
NG_050146.1,"Morganella morganii FFLM15 blaTEM gene for class A extended-spectrum beta-lactamase TEM-10, complete CDS",01-13-A6D25,1,27588820
NG_048254.1,"Streptococcus mutans tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",01-13-A6D25,1,27588820
NG_047829.1,"Bacteroides ovatus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",01-13-A6D25,1,27588820
NG_050203.1,"Proteus mirabilis blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-159, complete CDS",01-13-A6D25,1,27588820
NG_047973.1,"Streptococcus pyogenes MB56Spyo005 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",01-13-A6D25,1,27588820
NG_050270.1,"Klebsiella pneumoniae CLSiS L-491 blaTEM gene for class A extended-spectrum beta-lactamase TEM-48, complete CDS",01-13-A6D25,1,27588820
NG_048270.1,"Prevotella ruminicola 223 tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS",01-13-A6D25,1,27588820
NG_047432.1,"Plasmid pFA6 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",01-13-A6D25,1,27588820
NG_050265.1,"Klebsiella pneumoniae H67 pRYC11 blaTEM gene for class A extended-spectrum beta-lactamase TEM-4, complete CDS",01-13-A6D25,1,27588820
NG_047435.1,"Salmonella enterica subsp. enterica serovar Typhimurium NTP16 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",01-13-A6D25,1,27588820
NG_048265.1,"Streptococcus pneumoniae tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",01-13-A6D25,1,27588820
NG_057609.1,"Pseudomonas aeruginosa 1722300 blaTEM gene for class A beta-lactamase TEM-234, complete CDS",01-13-A6D25,1,27588820
NG_050243.1,"Escherichia coli pH1519-88 blaTEM gene for class A beta-lactamase TEM-210, complete CDS",01-13-A6D25,1,27588820
NG_050226.1,"Escherichia coli bMX-907669 blaTEM gene for class A beta-lactamase TEM-189, complete CDS",01-13-A6D25,1,27588820
NG_050186.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-143, complete CDS",01-13-A6D25,1,27588820
NG_050233.1,"Klebsiella pneumoniae KUN5033 blaTEM gene for class A beta-lactamase TEM-198, complete CDS",01-13-A6D25,1,27588820
NG_050153.1,"Salmonella enterica subsp. enterica serovar Typhimurium DT193 blaTEM gene for class A beta-lactamase TEM-108, complete CDS",01-13-A6D25,1,27588820
NG_050158.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-112, complete CDS",01-13-A6D25,1,27588820
NG_050219.1,"Haemophilus parainfluenzae 201025861 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-182, complete CDS",01-13-A6D25,1,27588820
NG_047977.1,"Exiguobacterium sp. S3-2 pMC1 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",01-13-A6D25,1,27588820
NG_050240.1,"Escherichia coli 3805 blaTEM gene for class A beta-lactamase TEM-208, complete CDS",01-13-A6D25,1,27588820
NG_050251.1,"Escherichia coli EV25 blaTEM gene for class A beta-lactamase TEM-219, complete CDS",01-13-A6D25,1,27588820
NG_050164.1,"Klebsiella oxytoca blaTEM gene for class A extended-spectrum beta-lactamase TEM-120, complete CDS",01-13-A6D25,1,27588820
NG_061611.1,"Escherichia coli CNR2389 unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-236, complete CDS",01-13-A6D25,1,27588820
NG_050256.1,"Enterobacter sp. GN02186 blaTEM gene for class A extended-spectrum beta-lactamase TEM-26, complete CDS",01-13-A6D25,1,27588820
NG_050258.1,"Pseudomonas aeruginosa pPA3-104 blaTEM gene for class A extended-spectrum beta-lactamase TEM-29, complete CDS",01-13-A6D25,1,27588820
NG_050296.1,"Klebsiella pneumoniae CLSiS 2946/98 pbla-TEM-86 blaTEM gene for class A extended-spectrum beta-lactamase TEM-86, complete CDS",01-13-A6D25,1,27588820
NG_050229.1,"Acinetobacter baumannii 197 blaTEM gene for class A beta-lactamase TEM-193, complete CDS",01-13-A6D25,1,27588820
NG_050211.1,"Escherichia coli N08-1503 blaTEM gene for class A extended-spectrum beta-lactamase TEM-168, complete CDS",01-13-A6D25,1,27588820
NG_050156.1,"Klebsiella pneumoniae Va32447 blaTEM gene for class A broad-spectrum beta-lactamase TEM-110, complete CDS",01-13-A6D25,1,27588820
NG_050198.1,"Escherichia coli H258 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-154, complete CDS",01-13-A6D25,1,27588820
NG_050305.1,"Escherichia coli H28 pOZ188 blaTEM gene for class A beta-lactamase TEM-96, complete CDS",01-13-A6D25,1,27588820
NG_050170.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-126, complete CDS",01-13-A6D25,1,27588820
NG_050269.1,"Klebsiella pneumoniae CLSiS 1590/96 blaTEM gene for class A extended-spectrum beta-lactamase TEM-47, complete CDS",01-13-A6D25,1,27588820
NG_050241.1,"Klebsiella pneumoniae 49 blaTEM gene for class A beta-lactamase TEM-209, complete CDS",01-13-A6D25,1,27588820
NG_050208.1,"Klebsiella pneumoniae pML1708 blaTEM gene for class A extended-spectrum beta-lactamase TEM-164, complete CDS",01-13-A6D25,1,27588820
NG_050250.1,"Enterobacter cloacae ST137 blaTEM gene for class A beta-lactamase TEM-217, complete CDS",01-13-A6D25,1,27588820
NG_047970.1,"Clostridium kluyveri DSM 555 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",02-21-A4D20,3,15991405
NG_048140.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",02-21-A4D20,1,15991405
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",02-21-A4D20,1,15991405
NG_050146.1,"Morganella morganii FFLM15 blaTEM gene for class A extended-spectrum beta-lactamase TEM-10, complete CDS",02-21-A4D20,1,15991405
NG_050201.1,"Enterobacter cloacae pEC005 blaTEM gene for class A extended-spectrum beta-lactamase TEM-157, complete CDS",02-21-A4D20,4,15991405
NG_050265.1,"Klebsiella pneumoniae H67 pRYC11 blaTEM gene for class A extended-spectrum beta-lactamase TEM-4, complete CDS",02-21-A4D20,1,15991405
NG_047829.1,"Bacteroides ovatus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",02-21-A4D20,2,15991405
NG_048177.1,"Aeromonas salmonicida pRAS3.2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",02-21-A4D20,2,15991405
NG_047440.1,"Enterobacter cloacae pEC-IMP aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",02-21-A4D20,1,15991405
NG_050230.1,"Acinetobacter baumannii 194 blaTEM gene for class A beta-lactamase TEM-194, complete CDS",02-21-A4D20,1,15991405
NG_050168.1,"Morganella morganii blaTEM gene for class A extended-spectrum beta-lactamase TEM-124, complete CDS",02-21-A4D20,1,15991405
NG_050214.1,"Escherichia coli pAm08CQ6130 blaTEM gene for class A beta-lactamase TEM-171, complete CDS",02-21-A4D20,2,15991405
NG_050218.1,"Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS",02-21-A4D20,4,15991405
NG_050195.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-151, complete CDS",02-21-A4D20,1,15991405
NG_050285.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-76, complete CDS",02-21-A4D20,1,15991405
NG_050179.1,"Salmonella enterica subsp. enterica serovar Typhimurium pFPTB1 blaTEM gene for class A broad-spectrum beta-lactamase TEM-135, complete CDS",02-21-A4D20,4,15991405
NG_056416.1,"Acinetobacter haemolyticus AN3 blaTEM gene for class A beta-lactamase TEM-229, complete CDS",02-21-A4D20,3,15991405
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",02-21-A4D20,3,15991405
NG_050255.1,"Klebsiella pneumoniae CF 1104 blaTEM gene for class A extended-spectrum beta-lactamase TEM-24, complete CDS",02-21-A4D20,1,15991405
NG_048257.1,"Campylobacter jejuni tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",02-21-A4D20,1,15991405
NG_050198.1,"Escherichia coli H258 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-154, complete CDS",02-21-A4D20,2,15991405
NG_048270.1,"Prevotella ruminicola 223 tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS",02-21-A4D20,1,15991405
NG_050304.1,"Escherichia coli Co52 blaTEM gene for class A broad-spectrum beta-lactamase TEM-95, complete CDS",02-21-A4D20,2,15991405
NG_050239.1,"Escherichia coli 5971R blaTEM gene for class A extended-spectrum beta-lactamase TEM-207, complete CDS",02-21-A4D20,1,15991405
NG_048175.1,"Salmonella enterica subsp. enterica serovar Typhimurium R46 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",02-21-A4D20,1,15991405
NG_050243.1,"Escherichia coli pH1519-88 blaTEM gene for class A beta-lactamase TEM-210, complete CDS",02-21-A4D20,2,15991405
NG_050162.1,"Staphylococcus aureus pJ3356::POX7 blaTEM gene for class A broad-spectrum beta-lactamase TEM-116, complete CDS",02-21-A4D20,4,15991405
NG_050277.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-6, complete CDS",02-21-A4D20,1,15991405
NG_048125.1,"Streptococcus salivarius FStet12 tet(32) gene for tetracycline resistance ribosomal protection protein Tet(32), complete CDS",02-21-A4D20,1,15991405
NG_050184.1,"Enterobacter cloacae EC002 blaTEM gene for class A broad-spectrum beta-lactamase TEM-141, complete CDS",02-21-A4D20,1,15991405
NG_050232.1,"Klebsiella pneumoniae FSP 286/05 blaTEM gene for class A extended-spectrum beta-lactamase TEM-197, complete CDS",02-21-A4D20,1,15991405
NG_056168.1,"Escherichia coli ECO0584 blaTEM gene for class A extended-spectrum beta-lactamase TEM-9, complete CDS",02-21-A4D20,1,15991405
NG_050291.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-81, complete CDS",02-21-A4D20,1,15991405
NG_047436.1,"Proteus vulgaris UR-75 Rts1 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",02-21-A4D20,1,15991405
NG_048058.1,"Serratia marcescens S-95 rmtB gene for 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1, complete CDS",02-21-A4D20,1,15991405
NG_050299.1,"Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS",02-21-A4D20,1,15991405
NG_050260.1,"Escherichia coli pINSRA99 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-30, complete CDS",02-21-A4D20,1,15991405
NG_048181.1,"Escherichia coli SE11 pSE11-1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",02-21-A4D20,1,15991405
NG_050153.1,"Salmonella enterica subsp. enterica serovar Typhimurium DT193 blaTEM gene for class A beta-lactamase TEM-108, complete CDS",02-21-A4D20,1,15991405
NG_050262.1,"Escherichia coli B24 pEC_B24 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-33, complete CDS",02-21-A4D20,1,15991405
NG_047439.1,"Avibacterium paragallinarum A14 pYMH5 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",02-21-A4D20,1,15991405
NG_050276.1,"Escherichia coli F4-Zhengzhou unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-57, complete CDS",02-21-A4D20,1,15991405
NG_048180.1,"uncultured bacterium tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",02-21-A4D20,1,15991405
NG_050165.1,"Escherichia coli KB-1 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-121, complete CDS",02-21-A4D20,1,15991405
NG_050186.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-143, complete CDS",02-21-A4D20,1,15991405
NG_050302.1,"Escherichia coli CLSiS 3445/98 pblaTEM-93 blaTEM gene for class A extended-spectrum beta-lactamase TEM-93, complete CDS",02-21-A4D20,1,15991405
NG_061611.1,"Escherichia coli CNR2389 unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-236, complete CDS",02-21-A4D20,1,15991405
NG_048178.1,"Chlamydia suis R27 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",02-21-A4D20,1,15991405
NG_050275.1,"Escherichia coli MDD39 blaTEM gene for class A broad-spectrum beta-lactamase TEM-55, complete CDS",02-21-A4D20,1,15991405
NG_054684.1,"Escherichia coli 1447376 blaTEM gene for class A beta-lactamase TEM-226, complete CDS",02-21-A4D20,1,15991405
NG_050149.1,"Klebsiella pneumoniae blaTEM gene for class A beta-lactamase TEM-104, complete CDS",02-21-A4D20,1,15991405
NG_050249.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-216, complete CDS",02-21-A4D20,1,15991405
NG_057609.1,"Pseudomonas aeruginosa 1722300 blaTEM gene for class A beta-lactamase TEM-234, complete CDS",02-21-A4D20,1,15991405
NG_050158.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-112, complete CDS",02-21-A4D20,1,15991405
NG_050306.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-97, complete CDS",02-21-A4D20,1,15991405
NG_050233.1,"Klebsiella pneumoniae KUN5033 blaTEM gene for class A beta-lactamase TEM-198, complete CDS",02-21-A4D20,1,15991405
NG_047827.1,"Lysinibacillus sphaericus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",02-21-A4D20,1,15991405
NG_048126.1,"Streptococcus parasanguinis 41.1T tet(32) gene for tetracycline resistance ribosomal protection protein Tet(32), complete CDS",02-21-A4D20,1,15991405
NG_050235.2,"Escherichia coli 2006-01-1248 blaTEM gene for class A extended-spectrum beta-lactamase TEM-20, complete CDS",02-21-A4D20,1,15991405
NG_047968.1,"Streptococcus agalactiae Hk115 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",02-21-A4D20,1,15991405
NG_050300.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-91, complete CDS",03-16-C2D25,1,19107748
NG_050238.1,"Escherichia coli S2.2-EK pEC-S2.2 blaTEM gene for class A broad-spectrum beta-lactamase TEM-206, complete CDS",03-16-C2D25,1,19107748
NG_047970.1,"Clostridium kluyveri DSM 555 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",03-16-C2D25,1,19107748
NG_050170.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-126, complete CDS",03-16-C2D25,1,19107748
NG_050232.1,"Klebsiella pneumoniae FSP 286/05 blaTEM gene for class A extended-spectrum beta-lactamase TEM-197, complete CDS",03-16-C2D25,1,19107748
NG_050279.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-63, complete CDS",03-16-C2D25,1,19107748
NG_048174.1,"Francisella tularensis LVS pOM1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",03-16-C2D25,1,19107748
NG_050150.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-105, complete CDS",03-16-C2D25,1,19107748
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",04-3-C6D25,1,21839662
NG_047828.1,"Bacteroides thetaiotaomicron 7853 erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",04-3-C6D25,1,21839662
NG_050241.1,"Klebsiella pneumoniae 49 blaTEM gene for class A beta-lactamase TEM-209, complete CDS",04-3-C6D25,1,21839662
NG_050207.1,"Escherichia coli 3343 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-163, complete CDS",04-3-C6D25,1,21839662
NG_049170.1,"Enterobacter cloacae 29181 blaIMI gene for carbapenem-hydrolyzing class A beta-lactamase IMI-8, complete CDS",04-3-C6D25,1,21839662
NG_050278.1,"Providencia stuartii VR-1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-60, complete CDS",04-3-C6D25,1,21839662
NG_050223.1,"Escherichia coli RS60 unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-186, complete CDS",04-3-C6D25,1,21839662
NG_047963.1,"Streptococcus pyogenes mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",04-3-C6D25,1,21839662
NG_050218.1,"Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS",04-3-C6D25,1,21839662
NG_052865.1,"Acinetobacter baumannii 1233161 blaTEM gene for class A beta-lactamase TEM-191, complete CDS",04-3-C6D25,1,21839662
NG_050299.1,"Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS",04-3-C6D25,1,21839662
NG_057472.1,"Klebsiella pneumoniae blaTEM gene for class A beta-lactamase TEM-232, complete CDS",04-3-C6D25,1,21839662
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",04-3-C6D25,2,21839662
NG_047968.1,"Streptococcus agalactiae Hk115 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",04-3-C6D25,1,21839662
NG_047429.1,"Escherichia coli aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",04-3-C6D25,1,21839662
NG_050285.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-76, complete CDS",04-3-C6D25,1,21839662
NG_050280.1,"Proteus mirabilis NEL-1 pANG-1 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-67, complete CDS",04-3-C6D25,1,21839662
NG_050274.1,"Escherichia coli BM2728 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-54, complete CDS",04-3-C6D25,1,21839662
NG_056416.1,"Acinetobacter haemolyticus AN3 blaTEM gene for class A beta-lactamase TEM-229, complete CDS",04-3-C6D25,1,21839662
NG_047829.1,"Bacteroides ovatus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",04-3-C6D25,1,21839662
NG_050163.1,"Klebsiella oxytoca 0400-1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-12, complete CDS",04-3-C6D25,1,21839662
NG_047827.1,"Lysinibacillus sphaericus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",04-3-C6D25,1,21839662
NG_050222.1,"Escherichia coli 0710C blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-185, complete CDS",04-3-C6D25,1,21839662
NG_047378.1,"Pediococcus acidilactici NCIMB 6990 pEOC01 aadE gene for aminoglycoside 6-adenylyltransferase AadE, complete CDS",05-2-A5D25,6,25645472
